goals_scored,assists,total_points,minutes,goals_conceded,bonus,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,season,full_name,position
0,2,43,2672,64,1,2,0,6,1.2,39,2024-2025,Dara O'Shea,1
0,4,47,977,28,0,1,0,2,0.0,54,2024-2025,Jack Clarke,2
0,0,16,810,22,0,0,0,2,0.1,45,2024-2025,Alex Palmer,0
4,2,66,1416,30,4,2,0,7,0.4,45,2024-2025,Facundo Buonanotte,2
4,0,59,1322,36,3,2,0,6,0.2,51,2024-2025,Jordan Ayew,2
0,0,40,1904,49,0,0,0,8,0.3,44,2024-2025,Boubakary Soumaré,2
0,0,16,1262,35,0,0,0,2,0.3,40,2024-2025,Conor Coady,1
1,0,30,631,16,2,0,0,0,0.6,48,2024-2025,Patson Daka,3
1,4,47,689,16,2,1,0,2,0.1,52,2024-2025,Bobby De Cordova-Reid,2
1,0,39,2362,56,0,1,0,3,5.0,38,2024-2025,Wout Faes,1
0,0,62,2295,55,1,1,0,1,0.4,44,2024-2025,Mads Hermansen,0
2,1,50,2534,62,2,1,0,5,1.1,41,2024-2025,James Justin,1
0,1,32,2380,60,0,1,0,1,0.1,44,2024-2025,Victor Kristiansen,1
4,1,72,1606,38,5,1,0,2,0.3,50,2024-2025,Stephy Mavididi,2
0,1,21,478,11,0,1,0,1,0.0,47,2024-2025,Kasey McAteer,2
0,4,52,1968,43,1,1,0,7,0.2,49,2024-2025,Wilfred Ndidi,2
1,0,26,1121,26,1,1,0,4,0.5,40,2024-2025,Caleb Okoli,1
0,0,10,540,12,0,0,0,1,0.4,40,2024-2025,Jakub Stolarczyk,0
0,0,9,692,18,0,0,0,1,1.4,39,2024-2025,Luke Thomas,1
7,4,106,2482,63,13,2,0,5,4.5,53,2024-2025,Jamie Vardy,3
0,0,11,1390,35,0,0,0,5,1.6,39,2024-2025,Jannik Vestergaard,1
0,2,40,1536,34,0,0,0,4,4.8,43,2024-2025,Harry Winks,2
0,0,20,851,22,0,1,0,6,0.0,47,2024-2025,Oliver Skipp,2
0,2,26,576,14,3,0,0,0,0.2,51,2024-2025,Abdul Fatawu,2
2,2,67,1834,50,6,1,0,4,0.1,48,2024-2025,Bilal El Khannouss,2
0,0,99,2058,19,9,10,0,0,9.1,55,2024-2025,Alisson Ramses Becker,0
3,6,141,2163,21,13,12,0,5,19.5,72,2024-2025,Trent Alexander-Arnold,1
0,1,34,524,5,3,3,0,3,0.9,47,2024-2025,Conor Bradley,1
5,3,61,995,17,6,2,0,8,2.0,70,2024-2025,Darwin Núñez Ribeiro,3
6,4,83,1064,10,4,7,0,2,2.8,72,2024-2025,Diogo Teixeira da Silva,2
8,4,100,1547,18,15,5,0,4,5.2,72,2024-2025,Cody Gakpo,3
0,0,14,517,8,0,1,0,1,0.4,47,2024-2025,Joe Gomez,1
0,3,84,2831,28,1,14,0,5,0.7,50,2024-2025,Ryan Gravenberch,2
3,5,79,1407,20,4,6,1,1,0.3,53,2024-2025,Curtis Jones,2
0,0,45,900,12,1,4,0,0,1.3,40,2024-2025,Caoimhin Kelleher,0
1,2,100,2230,21,4,11,0,5,7.7,53,2024-2025,Ibrahima Konaté,1
11,7,165,2145,15,20,15,0,2,21.4,75,2024-2025,Luis Díaz,2
27,18,320,2924,30,51,15,0,1,71.5,138,2024-2025,Mohamed Salah,2
4,5,107,2470,21,5,14,0,6,1.8,62,2024-2025,Alexis Mac Allister,2
0,0,10,308,6,0,0,0,1,1.1,39,2024-2025,Jarell Quansah,1
0,0,83,2215,28,4,10,1,3,4.1,58,2024-2025,Andrew Robertson,1
5,7,119,2184,23,13,12,0,6,2.8,62,2024-2025,Dominik Szoboszlai,2
0,1,41,658,3,3,4,0,2,0.2,46,2024-2025,Konstantinos Tsimikas,1
2,1,133,2970,31,8,14,0,3,27.3,66,2024-2025,Virgil van Dijk,1
0,0,46,1710,27,1,4,0,3,2.2,53,2024-2025,Manuel Akanji,1
0,0,25,677,11,0,3,0,0,0.8,53,2024-2025,Nathan Aké,1
3,4,90,2307,36,10,6,0,7,2.5,61,2024-2025,Bernardo Veiga de Carvalho e Silva,2
3,9,96,1448,19,9,7,0,2,6.3,94,2024-2025,Kevin De Bruyne,2
3,5,77,1297,13,3,6,0,1,1.4,62,2024-2025,Jérémy Doku,2
